Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
17857811038,"Mar 25, 2026, 7:58:21 PM",Nike Run Club: Two Mile Run,Run,"",1270,3.22,,,,,Saucony Triumph 20,activities/18957317184.fit.gz,,,1270.0,1270.0,3225.9,3.767,2.54,31.0,35.0,305.6,316.4,30.0,0.0,,,105.0,76.0,,,,,263.0,,,,,,,,,,,,,,,,0.0,,1.0,3743.2,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,2.54,0.0,,,,3228.0,0.0,,,,2.947,,,,,,,,,,,,media/53e8d368-a0c2-434f-865f-a7b2c21b8128.jpg
17846685335,"Mar 24, 2026, 9:50:12 PM",Afternoon Ride,Ride,"",2090,11.44,168.0,63,,,Marin 2021,activities/17846685335.gpx,,11.793,2090.0,2072.0,11445.2,8.38,5.524,17.6,17.7,282.4,292.8,4.8,0.0,,,,,168.0,145.0,,170.0,392.0,,,63.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11537838.0,,,,,,,,,,,,5.476,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17842654651,"Mar 24, 2026, 4:22:46 PM",Tuesday,Weight Training,"Tracked with Bevel

Deadlift · Barbell
• Warm up — 80 lbs × 12
• Set 1 — 80 lbs × 12

Pull Up · Bodyweight
• Warm up — 9 reps
• Set 1 — 20 lbs × 6
• Set 2 — 30 lbs × 5
• Set 3 — 20 lbs × 8

Face Pull · Cable (Single)
• Set 1 — 20 lbs × 20
• Set 2 — 25 lbs × 20
• Set 3 — 25 lbs × 20

Bicep Curl · Dumbbell (Double)
• Warm up — 30 lbs × 10
• Set 1 — 30 lbs × 12
• Set 2 — 20 lbs × 10
• Set 3 — 20 lbs × 12 (Failure)
• Set 4 — 20 lbs × 10 (Failure)",1860,0,124.0,5,,,,activities/18942120570.fit.gz,,,1860.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,124.0,96.0,,,,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17834533373,"Mar 23, 2026, 11:55:25 PM",Nike Run Club: 2K RUN,Run,"",981,2.46,163.0,38,,,Saucony Triumph 20,activities/18933946681.fit.gz,,,981.0,969.0,2465.3,3.78,2.544,20.0,23.0,304.8,315.6,29.3,0.0,,,128.0,76.0,163.0,153.0,,,201.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,2691.6,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,2.513,0.0,,,,2450.0,0.0,,,,2.778,,,,,,,,,,,,media/48cb17f4-392d-48ae-b6cb-0cfcc29b1ca4.jpg
17832996132,"Mar 23, 2026, 8:33:50 PM",Afternoon Skateboard,Skateboard,"",3448,4.22,174.0,61,,,,activities/17832996132.gpx,,,3448.0,1846.0,4221.2,6.3,2.287,0.0,0.0,244.7,246.7,10.1,0.0,,,,,174.0,146.0,,,,,,61.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.224,0.0,,,,,0.0,,,,,,1578.0,,,,,,,,,,""
17829552481,"Mar 23, 2026, 4:13:50 PM",Monday,Weight Training,"Tracked with Bevel

Incline Bench Press · Dumbbell (Double)
• Warm up — 45 lbs × 12
• Set 1 — 70 lbs × 9
• Set 2 — 70 lbs × 7
• Set 3 — 65 lbs × 9
• Set 4 — 60 lbs × 8 (Failure)
• Set 5 — 45 lbs × 10 (Failure)

Overhead Triceps Extension · Cable (Single)
• Set 1 — 45 lbs × 10
• Set 2 — 40 lbs × 12
• Set 3 — 40 lbs × 12
• Set 4 — 35 lbs × 14 (Failure)",1800,0,112.0,5,,,,activities/18928980216.fit.gz,,,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,112.0,100.0,,,,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17828854688,"Mar 23, 2026, 3:34:34 PM",Nike Run Club: The knee said NOPE,Run,"",563,0.80,127.0,1,,,Saucony Triumph 20,activities/18928279090.fit.gz,,,563.0,483.0,804.6,3.833,1.666,9.0,6.0,303.6,314.6,43.9,0.2,,,128.0,56.0,127.0,98.0,,,55.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,913.7,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,1.429,0.0,,,,948.0,0.0,,,,1.892,,,0.0,0.0,,,,0.0,,,,media/b5274fa5-c9e1-449b-baf3-2a311cef98d5.jpg
17819838616,"Mar 22, 2026, 1:48:31 PM",Morning Hike,Hike,"",13984,10.39,162.0,55,,,,activities/17819838616.gpx,,,13984.0,9873.0,10398.0,4.28,1.053,532.5,532.7,311.7,548.6,49.5,0.0,,,,,162.0,110.0,,,1124.0,,,55.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,6162.2,,,,14512.0,0.0,,,,,,14512.0,,,,,,,,,,""
17809074454,"Mar 21, 2026, 10:45:56 PM",Home Quick,Weight Training,"Tracked with Bevel

Pull Up · Bodyweight
• Set 1 — 9 reps
• Set 2 — 10 reps
• Set 3 — 10 reps
• Set 4 — 8 reps

Push Up · Bodyweight
• Set 1 — 25 reps
• Set 2 — 25 reps
• Set 3 — 25 reps",1620,0,118.0,5,,,,activities/18908281680.fit.gz,,,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,118.0,107.0,,,,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17807888548,"Mar 21, 2026, 5:26:14 PM",Afternoon Ride,Ride,"",10653,23.27,177.0,40,,,,activities/17807888548.gpx,,9.0,10653.0,6421.0,23272.3,8.24,3.624,63.5,63.5,282.0,314.8,17.1,0.0,,,,,177.0,117.0,,60.0,429.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185,3247.7,,,,,0.0,,,,,,,,,,,,,,,,""
